cnpj_basico,case_number,class_iii_face_sum,establishment_cnpjs,claim_count,debtor_name,stage,is_related_party,above_floor,band,doc_id,creditor_name_as_printed,flags,extracted_at,extracted_by
05860157,0000206-69.2013.8.17.1340,399413.94,05860157000100,1,AGROPECUÁRIA SERROTE REDONDO – LRF Líderes em Recuperação Judicial e Falência,,,1,FLOOR,7c0ce2830d0d7e22653dbd04dbb70cd8440069c6,EPE - PRODUTOS AGROPECUARIOS LTDA,"ALT_VALUE:399.413,94|ROWS:p2r4",2026-09-03T23:03:32Z,build
02291660,0000206-69.2013.8.17.1340,390081.00,02291660000102,1,AGROPECUÁRIA SERROTE REDONDO – LRF Líderes em Recuperação Judicial e Falência,,,1,FLOOR,7c0ce2830d0d7e22653dbd04dbb70cd8440069c6,L. D. NUNES LTDA,"ALT_VALUE:390.081,00|ROWS:p2r36",2026-09-03T23:03:32Z,build
36238945,8005129-09.2023.8.05.0039,361043.83,36238945000193,1,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,POLUX SECURITIZADORA DE RECEBÍVEIS COMERCIAIS S.A.,ROWS:p9r5|UNRECONCILED_SOURCE,2026-09-03T23:03:32Z,build
03143730,0820780-23.2026.8.14.0301,356666.66,03143730000130,1,e mpresa,,,1,FLOOR,38d930ab1caa2c9562c2171db6bb7801de1f28e5,SECRETARIA EXECUTIVA DE ESPORTE E LAZER,PARTIAL_DOC_CLASS_III_RECONCILED|ROWS:p3r25,2026-09-03T23:03:32Z,build
14492564,8005129-09.2023.8.05.0039,341250.00,14492564000101,1,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,POLYEXCEL IND E COM CP POLIMERICOS LTDA,ROWS:p9r6|UNRECONCILED_SOURCE,2026-09-03T23:03:32Z,build
43464332,0008526-45.2025.8.17.2001,334279.01,43464332000130|43464332000210,2,E FALENCIA,,,1,FLOOR,1658892fa167d2330f5086c9fbc19999d00549f1,IRON COMEX LTDA - Este documento foi gerado pelo usuário 031.***.***-17 em 10/06/2025 18:21:34,"LONG_CHUNK|ROWS:p5r78,p5r79",2026-09-03T23:03:32Z,build
03732359,0000206-69.2013.8.17.1340,334273.09,03732359000141,1,AGROPECUÁRIA SERROTE REDONDO – LRF Líderes em Recuperação Judicial e Falência,,,1,FLOOR,7c0ce2830d0d7e22653dbd04dbb70cd8440069c6,COOPERATIVA DE CRÉDITO RURAL DO ALTO PAJEU LTDA.,"ALT_VALUE:334.273,09|ROWS:p1r29|VALUE_COL:Valor_Atualizado",2026-09-03T23:03:32Z,build
00000000,0000206-69.2013.8.17.1340,324716.74,00000000060844,1,AGROPECUÁRIA SERROTE REDONDO – LRF Líderes em Recuperação Judicial e Falência,,,1,FLOOR,7c0ce2830d0d7e22653dbd04dbb70cd8440069c6,BANCO DO BRASIL S/A,"ALT_VALUE:324.716,74|ROWS:p1r13|VALUE_COL:Valor_Atualizado",2026-09-03T23:03:32Z,build
33647553,0820780-23.2026.8.14.0301,309484.78,33647553000190,1,e mpresa,,,1,FLOOR,38d930ab1caa2c9562c2171db6bb7801de1f28e5,FLUMINENSE FOOTBA LL CLUB,PARTIAL_DOC_CLASS_III_RECONCILED|ROWS:p3r19,2026-09-03T23:03:32Z,build
05052443,0000206-69.2013.8.17.1340,286961.94,05052443000140,1,AGROPECUÁRIA SERROTE REDONDO – LRF Líderes em Recuperação Judicial e Falência,,,1,FLOOR,7c0ce2830d0d7e22653dbd04dbb70cd8440069c6,PLASKEM EMBALAGENS LTDA,"ALT_VALUE:286.961,94|ROWS:p3r15",2026-09-03T23:03:32Z,build
12093804,0008526-45.2025.8.17.2001,286765.70,12093804000161,1,E FALENCIA,,,1,FLOOR,1658892fa167d2330f5086c9fbc19999d00549f1,CAPITAL ANNEX FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,ROWS:p5r68,2026-09-03T23:03:32Z,build
11516792,0804401-51.2025.8.14.0039,282047.00,11516792000178,1,SOJAL COMERCIA,,,1,FLOOR,c56751547323616443dc07ccc6d6c553539dec25,BRANDT SOLUCOES EM AGRICULTURA LTDA,ROWS:p1r7,2026-09-03T23:03:32Z,build
20791371,0804401-51.2025.8.14.0039,273047.11,20791371000146,1,SOJAL COMERCIA,,,1,FLOOR,c56751547323616443dc07ccc6d6c553539dec25,LS INTERBANK FUNDO DE INVESTIMENTO EM DI,ROWS:p2r3,2026-09-03T23:03:32Z,build
10925045,0829315-43.2023.8.15.0001,267635.55,10925045000120,1,"consta no Doc 04 aqui acostado, servindo a Rua Padre Carapuceiro, 706, Empresa",,,1,FLOOR,47e92e4db6f8d9b004d158805b0150b0d5f22a9e,OPTIMUM CONSULTORIA EM GESTAO PUBLICA LTDA,ROWS:p3r19,2026-09-03T23:03:32Z,build
08810422,0301015-33.2016.8.24.0031,238085.39,08810422000134,1,e Extrajudicia,,,1,FLOOR,98f99945499b4824d14d0e34451a96945464b6ec,"GUARARAPES PAINES LTDA, CNPJ",ROWS:p2r68|UNRECONCILED_SOURCE,2026-09-03T23:03:32Z,build
54289830,,235792.34,54289830000100,1,,,,1,FLOOR,6a92d74da333ce21f5461767626e7ff05b8f474a,DOREMUS ALIMENTOS LTDA,CASE_NUMBER_MISSING|ROWS:p3r14,2026-09-03T23:03:32Z,build
47799028,8005129-09.2023.8.05.0039,219345.95,47799028000102,1,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,EDENTEC INDUSTRIA E COMERCIO LTDA,ROWS:p7r3|UNRECONCILED_SOURCE,2026-09-03T23:03:32Z,build
60701190,0824037-95.2022.8.15.0001,209200.00,60701190000104,1,em questão. FAZ SA,,,1,FLOOR,49e767732638d57cf843ff857e8c16528c80e86f,ITAÚ UNIBANCO,ROWS:p2r59,2026-09-03T23:03:32Z,build
04591114,0000206-69.2013.8.17.1340,201080.88,04591114000104,1,AGROPECUÁRIA SERROTE REDONDO – LRF Líderes em Recuperação Judicial e Falência,,,1,FLOOR,7c0ce2830d0d7e22653dbd04dbb70cd8440069c6,DURANCHO – NUTRIÇÃO ANIMAL,"ALT_VALUE:49.140,00|ROWS:p2r1",2026-09-03T23:03:32Z,build
32282989,0820780-23.2026.8.14.0301,188233.36,32282989000160,1,e mpresa,,,0,POOL,38d930ab1caa2c9562c2171db6bb7801de1f28e5,ALVAREZ & MARSAL REESTRUTURACAO E ASSESS ORIA FINANCEIRA PARA SIT ESP LTDA,PARTIAL_DOC_CLASS_III_RECONCILED|ROWS:p3r13,2026-09-03T23:03:32Z,build
60746948,0824037-95.2022.8.15.0001,162443.50,60746948000112,1,em questão. FAZ SA,,,0,POOL,49e767732638d57cf843ff857e8c16528c80e86f,BANCO BRADESCO,ROWS:p2r56,2026-09-03T23:03:32Z,build
